City,Month,AQI,Hospital,Resp,Emergency
Chennai,0,278.5094414157524,0.010369795,0.0051709157,0.0026285218
Chennai,1,260.94952662640924,0.010369795,0.0051709157,0.0026285218
Chennai,2,294.97943991433414,0.010223851,0.0051709157,0.0025729924
Chennai,3,266.43824783000167,0.010410561,0.0051709157,0.0026285218
Chennai,4,256.9289559292822,0.010410561,0.0051709157,0.0026285218
Chennai,5,297.49955232221674,0.010410561,0.0051709157,0.0026285218
Chennai,6,304.27986986987753,0.010410561,0.0051709157,0.0026285218
Chennai,7,281.33876383248304,0.010410561,0.0051709157,0.0026285218
Chennai,8,285.9850164448461,0.010410561,0.0051709157,0.0026285218
Chennai,9,282.56342426514954,0.010369795,0.0051709157,0.0026285218
Chennai,10,285.8000495326473,0.010369795,0.0051709157,0.0026285218
Chennai,11,325.7337189799384,0.010369795,0.0051709157,0.0026285218
Chennai,12,234.22357677821333,0.010369795,0.0051709157,0.0026285218
Chennai,13,241.21718690473597,0.010369795,0.0051709157,0.0026285218
Chennai,14,299.8959220755559,0.010223851,0.0051709157,0.0025729924
Chennai,15,291.9940186589935,0.010410561,0.0051709157,0.0026285218
Chennai,16,290.1913670774017,0.010410561,0.0051709157,0.0026285218
Chennai,17,311.48456704067104,0.010410561,0.0051709157,0.0026285218
Indore,0,290.4282099159354,0.010369795,0.0051709157,0.0026285218
Indore,1,335.76310350850366,0.010369795,0.0051709157,0.0026285218
Indore,2,315.36522430519335,0.010223851,0.0051709157,0.0025729924
Indore,3,334.81978884999324,0.010410561,0.0051709157,0.0026285218
Indore,4,395.5882356865812,0.010410561,0.0051709157,0.0026285218
Indore,5,371.25950364928593,0.010410561,0.0051709157,0.0026285218
Indore,6,295.06165307316536,0.010410561,0.0051709157,0.0026285218
Indore,7,270.29725780242956,0.010410561,0.0051709157,0.0026285218
Indore,8,247.76014854288078,0.010410561,0.0051709157,0.0026285218
Indore,9,291.39903270093987,0.010369795,0.0051709157,0.0026285218
Indore,10,263.7685818350106,0.010369795,0.0051709157,0.0026285218
Indore,11,314.5826345045948,0.010369795,0.0051709157,0.0026285218
Indore,12,329.87293171502796,0.010369795,0.0051709157,0.0026285218
Indore,13,296.8058435547063,0.010369795,0.0051709157,0.0026285218
Indore,14,350.6836579489471,0.010223851,0.0051709157,0.0025729924
Indore,15,352.060694944657,0.010410561,0.0051709157,0.0026285218
Indore,16,370.9816197696539,0.010410561,0.0051709157,0.0026285218
Indore,17,378.1410589382947,0.010410561,0.0051709157,0.0026285218
Jaipur,0,212.82787645927021,0.010369795,0.0051709157,0.0026285218
Jaipur,1,213.85419234797416,0.010369795,0.0051709157,0.0026285218
Jaipur,2,248.22438136346491,0.010223851,0.0051709157,0.0025729924
Jaipur,3,256.5732027833454,0.010410561,0.0051709157,0.0026285218
Jaipur,4,267.5373756685199,0.010410561,0.0051709157,0.0026285218
Jaipur,5,232.69852745188646,0.010410561,0.0051709157,0.0026285218
Jaipur,6,254.46958248228052,0.010410561,0.0051709157,0.0026285218
Jaipur,7,264.5011984933986,0.010410561,0.0051709157,0.0026285218
Jaipur,8,137.9156628292,0.010469043,0.0051325425,0.0026285218
Jaipur,9,178.17624357667978,0.010369795,0.0051709157,0.0026285218
Jaipur,10,241.27229522931296,0.010369795,0.0051709157,0.0026285218
Jaipur,11,277.92976723498157,0.010369795,0.0051709157,0.0026285218
Jaipur,12,194.61125561239814,0.010369795,0.0051709157,0.0026285218
Jaipur,13,223.15957662528345,0.010369795,0.0051709157,0.0026285218
Jaipur,14,227.4917929989089,0.010223851,0.0051709157,0.0025729924
Jaipur,15,231.26306124972294,0.010410561,0.0051709157,0.0026285218
Jaipur,16,232.12810187435318,0.010410561,0.0051709157,0.0026285218
Jaipur,17,187.70007677616377,0.010410561,0.0051709157,0.0026285218
Surat,0,236.67695402579298,0.010369795,0.0051709157,0.0026285218
